group_code,action,winner_course_id,winner_course_name,affected_course_id,affected_course_name,details
"T579C","TRANSFER_TRAINING","13648","SPPIVT T579C Application of Potting- Lockwire/Screws (OJT)","13761","SPPIVT T579C Application of Potting- Lockwire/Screw - Parent","Transferred 0 trainings (71 conflicts deleted - employee already had winner course)"
"T579C","MERGE","13648","SPPIVT T579C Application of Potting- Lockwire/Screws (OJT)","13761","SPPIVT T579C Application of Potting- Lockwire/Screw - Parent","Merged into winner. Original: 0 positions, 71 trainings"
"T579C","DELETE_COURSE","13648","SPPIVT T579C Application of Potting- Lockwire/Screws (OJT)","13761","SPPIVT T579C Application of Potting- Lockwire/Screw - Parent","Course deleted after merge"
"T586","TRANSFER_POSITION","13754","SPPIVT T586 Bead Blast Training (Parent)","13531","SPPIVT T586 Bead Blasting - Plastic and Glass Media (Parent)","Transferred 13 positions (0 conflicts skipped)"
"T586","TRANSFER_TRAINING","13754","SPPIVT T586 Bead Blast Training (Parent)","13531","SPPIVT T586 Bead Blasting - Plastic and Glass Media (Parent)","Transferred 100 trainings (36 conflicts deleted - employee already had winner course)"
"T586","MERGE","13754","SPPIVT T586 Bead Blast Training (Parent)","13531","SPPIVT T586 Bead Blasting - Plastic and Glass Media (Parent)","Merged into winner. Original: 13 positions, 136 trainings"
"T586","DELETE_COURSE","13754","SPPIVT T586 Bead Blast Training (Parent)","13531","SPPIVT T586 Bead Blasting - Plastic and Glass Media (Parent)","Course deleted after merge"
"T654","TRANSFER_POSITION","13734","SPPIVT T654 FAA Supervisor Drug & Alcohol Training (OL IL)","13693","SPPIVT T654 FAA Employee Drug and Alcohol Training (FedReady)","Transferred 25 positions (0 conflicts skipped)"
"T654","TRANSFER_TRAINING","13734","SPPIVT T654 FAA Supervisor Drug & Alcohol Training (OL IL)","13693","SPPIVT T654 FAA Employee Drug and Alcohol Training (FedReady)","Transferred 0 trainings (25 conflicts deleted - employee already had winner course)"
"T654","MERGE","13734","SPPIVT T654 FAA Supervisor Drug & Alcohol Training (OL IL)","13693","SPPIVT T654 FAA Employee Drug and Alcohol Training (FedReady)","Merged into winner. Original: 25 positions, 25 trainings"
"T654","DELETE_COURSE","13734","SPPIVT T654 FAA Supervisor Drug & Alcohol Training (OL IL)","13693","SPPIVT T654 FAA Employee Drug and Alcohol Training (FedReady)","Course deleted after merge"
"T654","MERGE","13734","SPPIVT T654 FAA Supervisor Drug & Alcohol Training (OL IL)","99971","SPPIVT T654 FAA Supervisor Drug and Alcohol Training (FedReady)","Merged into winner. Original: 0 positions, 0 trainings"
"T654","DELETE_COURSE","13734","SPPIVT T654 FAA Supervisor Drug & Alcohol Training (OL IL)","99971","SPPIVT T654 FAA Supervisor Drug and Alcohol Training (FedReady)","Course deleted after merge"
"T654","TRANSFER_TRAINING","13734","SPPIVT T654 FAA Supervisor Drug & Alcohol Training (OL IL)","13887","SPPIVT T654 FAA Anti-Drug & Alcohol Supervisor Checklist (COL-FRM-0056)","Transferred 0 trainings (25 conflicts deleted - employee already had winner course)"
"T654","MERGE","13734","SPPIVT T654 FAA Supervisor Drug & Alcohol Training (OL IL)","13887","SPPIVT T654 FAA Anti-Drug & Alcohol Supervisor Checklist (COL-FRM-0056)","Merged into winner. Original: 25 positions, 25 trainings"
"T654","DELETE_COURSE","13734","SPPIVT T654 FAA Supervisor Drug & Alcohol Training (OL IL)","13887","SPPIVT T654 FAA Anti-Drug & Alcohol Supervisor Checklist (COL-FRM-0056)","Course deleted after merge"
"T654","TRANSFER_TRAINING","13734","SPPIVT T654 FAA Supervisor Drug & Alcohol Training (OL IL)","13694","SPPIVT T654 FAA Transferring Employees into and out of Safety Sensitive Positions","Transferred 0 trainings (25 conflicts deleted - employee already had winner course)"
"T654","MERGE","13734","SPPIVT T654 FAA Supervisor Drug & Alcohol Training (OL IL)","13694","SPPIVT T654 FAA Transferring Employees into and out of Safety Sensitive Positions","Merged into winner. Original: 25 positions, 25 trainings"
"T654","DELETE_COURSE","13734","SPPIVT T654 FAA Supervisor Drug & Alcohol Training (OL IL)","13694","SPPIVT T654 FAA Transferring Employees into and out of Safety Sensitive Positions","Course deleted after merge"
"T654","MERGE","13734","SPPIVT T654 FAA Supervisor Drug & Alcohol Training (OL IL)","999007","SPPIVT T654 FAA Transferring Employees into and out of Safety Sensitive Positions (OL)","Merged into winner. Original: 0 positions, 0 trainings"
"T654","DELETE_COURSE","13734","SPPIVT T654 FAA Supervisor Drug & Alcohol Training (OL IL)","999007","SPPIVT T654 FAA Transferring Employees into and out of Safety Sensitive Positions (OL)","Course deleted after merge"
"T661","TRANSFER_POSITION","999036","SPPIVT T661 Control of Age Solutions, Materials, and Age Sensitive Materials (IL)","13472","SPPIVT T661 Control of Age Solutions, Materials, and Age Sensitive Materials (OL)","Transferred 2 positions (14 conflicts skipped)"
